SPECTRUM DATA FILE
SpectrumCount:	10
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	input1_2	input1_1	input1_0	input0_9	input0_8	input0_7	input0_6	input0_5	input0_4	input0_3
Date:	2022-02-16T14:35:49.0865719+00:00	2022-02-16T14:37:41.3886999+00:00	2022-02-16T14:39:40.1929287+00:00	2022-02-16T14:40:46.5946066+00:00	2022-02-16T14:41:45.1953320+00:00	2022-02-16T14:42:53.9984644+00:00	2022-02-16T14:43:47.8998228+00:00	2022-02-16T14:44:49.8006079+00:00	2022-02-16T14:46:07.6025769+00:00	2022-02-16T14:47:17.8047664+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	5	5	5	5	5	5	5	5	5	5
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.1333683	0.122907	0.1094962	0.09269594	0.0801761	0.06888603	0.06179233	0.05199446	0.04075538	0.0296274
Temperature:	23.31226	23.31226	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.41406	23.31226
DiagramColor:	16711680	200	49152	16711935	42495	12632064	3368611	53970	65280	255
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10
222.6503	-9.81908	-13.84056	17.42384	-22.61516	-14.77262	9.409914	-20.51947	24.9822	-9.207818	0.2259631
222.9926	-7.267895	-22.57484	16.96489	-1.34212	-14.71882	4.643072	-29.85483	17.20998	-30.21051	-4.595564
223.3349	-10.06108	-22.00073	13.97535	16.39402	-7.504355	0.8212991	-17.14136	7.654557	-55.46246	1.829157
223.6772	-6.733972	-8.913525	9.119476	20.73351	-5.524415	0.08750129	-6.674729	6.638581	-45.70153	0.09001116
224.0194	-10.33536	8.750881	1.85344	-1.140254	-6.317459	-2.86809	1.293267	-0.3285701	-13.50294	2.661021
224.3617	-5.113958	21.16062	-4.148718	-5.826317	-5.703146	-2.784287	7.211809	-5.924407	10.10012	4.226953
224.7039	-13.39331	19.67273	-4.536775	-5.761148	-3.026657	4.426025	-3.704503	-3.643296	-1.858612	5.962891
225.0462	-12.35314	2.304519	9.512113	4.829083	-9.322793	-0.3931243	-8.179935	6.636126	-11.71808	7.250698
225.3884	-17.74556	-24.42653	19.29694	7.850176	-5.314418	-16.73966	1.255782	8.872231	-9.110023	1.862472
225.7307	-19.23774	-15.90369	13.40512	9.107163	-9.996683	-8.572053	12.88216	2.277122	-8.857746	1.549526
226.0729	-11.77133	-4.28897	10.528	-6.112772	-6.726645	6.571976	0.6374389	-4.608283	-16.26868	2.501688
226.4151	5.832665	12.88111	17.26289	4.031536	-2.60937	8.900492	-3.394262	1.276192	-23.61529	-0.2263951
226.7573	14.83883	9.157748	18.25967	3.209857	9.392063	18.14661	-18.6184	14.72077	-19.58954	-15.48214
227.0995	1.527134	20.44997	5.636734	-7.537644	9.433371	23.8146	-23.37755	17.18062	-20.19297	3.916128
227.4417	-7.869871	4.694816	-4.519477	-16.32598	13.04608	7.780076	-20.81509	7.5185	-15.52674	7.297711
227.7839	-5.802613	-3.915122	0.4039648	3.210645	13.28211	2.521972	-4.947555	4.404769	-26.40223	5.492745
228.1261	5.930359	-18.36361	3.619599	21.75563	10.4342	4.398777	8.433232	12.73307	-27.34895	-7.493191
228.4682	1.638353	-26.12475	9.518789	21.35559	3.19032	3.333783	18.51141	11.98978	-39.13644	-13.17601
228.8104	-1.768271	-33.63805	5.931258	13.37952	0.6988327	0.1510966	28.0586	7.894939	-36.30577	-13.30798
229.1525	-7.677773	-25.23582	4.606453	14.48437	10.9438	15.23598	17.19685	7.42772	-37.71099	-4.016253
229.4947	3.119729	-11.6116	3.370495	12.93247	24.10536	12.49339	10.39015	1.334896	-22.96451	-1.851828
229.8368	4.507659	3.188508	15.47331	3.114397	27.43827	15.44807	-0.1676845	-7.600509	-16.19028	-10.179
230.179	5.183757	-2.492336	21.95962	-15.84082	11.41502	14.18576	-8.963781	-2.090088	-25.29229	5.361677
230.5211	8.344216	-16.27509	17.48608	-8.039402	2.853076	13.44685	-13.84444	12.53785	-16.57798	10.61555
230.8632	7.747455	-24.02331	0.3287361	-5.003929	-3.312045	9.090802	-15.01736	14.87896	-18.07401	2.281166
231.2053	5.421873	-21.06313	6.159108	3.284018	-8.963604	-2.345428	-11.67913	6.880171	-9.216795	4.926479
231.5474	17.52338	-11.53794	17.71744	6.195535	-0.9542038	-0.2835455	-7.814024	2.826057	-4.270011	25.14635
231.8895	28.35614	-13.54021	10.89428	19.29402	18.83112	5.115033	-4.797351	9.312827	3.611793	26.06356
232.2316	14.7779	-18.00022	-2.124513	5.235728	22.66251	3.978362	-4.878386	6.248373	-5.616636	0.7909738
232.5737	-0.4579654	-28.27354	1.661111	-3.121552	6.348815	-16.74067	1.144562	12.76869	-19.00726	-23.06987
232.9157	-10.5509	-17.07189	4.78707	-2.805496	-0.6836004	4.896688	2.396863	19.04607	-15.80264	-21.73006
233.2578	-12.37624	-14.36411	5.725402	8.73754	9.527106	11.54443	-1.428098	16.66713	-7.089865	-2.534305
233.5999	-18.20899	-16.92814	6.996709	-1.369346	0.3153423	14.36181	-10.17941	4.532004	-11.10837	-4.247252
